hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description
HED_0042255	Motor-seizure	3	Seizure-classification	suggestedTag=Duration	"Involves musculature in any form. The motor event could consist of an increase (positive) or decrease (negative) in muscle contraction to produce a movement. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2; Duration tag from Beniczky ea Table 13.)"
HED_0042256	Clonic-seizure	4	Motor-seizure		"Jerking, either symmetric or asymmetric, that is regularly repetitive and involves the same muscle groups. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042257	Tonic-seizure	4	Motor-seizure		"A sustained increase in muscle contraction lasting a few seconds to minutes. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042258	Atonic-seizure	4	Motor-seizure		"Sudden loss or diminution of muscle tone without apparent preceding myoclonic or tonic event lasting  about 1 to 2 s, involving head, trunk, jaw, or limb musculature. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042259	Myoclonic-atonic-seizure	4	Motor-seizure		"A generalized seizure type with a myoclonic jerk leading to an atonic motor component. This type was previously called myoclonic astatic. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042260	Myoclonic-tonic-clonic-seizure	4	Motor-seizure		"One or a few jerks of limbs bilaterally, followed by a tonic clonic seizure. The initial jerks can be considered to be either a brief period of clonus or myoclonus. Seizures with this characteristic are common in juvenile myoclonic epilepsy. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042261	Tonic-clonic-seizure	4	Motor-seizure		"A sequence consisting of a tonic followed by a clonic phase. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042262	Automatism-seizure	4	Motor-seizure		"A more or less coordinated motor activity usually occurring when cognition is impaired and for which the subject is usually (but not always) amnesic afterward. This often resembles a voluntary movement and may consist of an inappropriate continuation of preictal motor activity. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042263	Hyperkinetic-seizure	4	Motor-seizure		"(Source: Fisher ea 2017, Table 2.)"
HED_0042264	Epileptic-spasm	4	Motor-seizure		"A sudden flexion, extension, or mixed extension flexion of predominantly proximal and truncal muscles that is usually more sustained than a myoclonic movement but not as sustained as a tonic seizure. Limited forms may occur: Grimacing, head nodding, or subtle eye movements. Epileptic spasms frequently occur in clusters. Infantile spasms are the best known form, but spasms can occur at all ages. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042265	Nonmotor-seizure	3	Seizure-classification	suggestedTag=Duration	"Focal or generalized seizure types in which motor activity is not prominent. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2; Duration tag from Beniczky ea Table 13.)"
HED_0042266	Behavior-arrest-seizure	4	Nonmotor-seizure		"Arrest (pause) of activities, freezing, immobilization, as in behavior arrest seizure. A focal behavior arrest seizure shows arrest of behavior as the prominent feature of the entire seizure. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017.)"
HED_0042267	Sensory-seizure	4	Nonmotor-seizure		"A perceptual experience not caused by appropriate stimuli in the external world. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042268	Emotional-seizure	4	Nonmotor-seizure		"Seizures presenting with an emotion or the appearance of having an emotion as an early prominent feature, such as fear, spontaneous joy or euphoria, laughing (gelastic), or crying (dacrystic). Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042269	Cognitive-seizure	4	Nonmotor-seizure		"Pertaining to thinking and higher cortical functions, such as language, spatial perception, memory, and praxis. The previous term for similar usage as a seizure type was psychic. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042270	Autonomic-seizure	4	Nonmotor-seizure		"A distinct alteration of autonomic nervous system function involving cardiovascular, pupillary, gastrointestinal, sudomotor, vasomotor, and thermoregulatory functions. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042271	Absence-seizure	3	Seizure-classification	suggestedTag=Duration	"Absence seizures present with a sudden cessation of activity and awareness. Absence seizures tend to occur in younger age groups, have more sudden start and termination, and they usually display less complex automatisms than do focal seizures with impaired awareness, but the distinctions are not absolute. EEG information may be required for accurate classification. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2; Duration tag from Beniczky ea Table 13.)"
HED_0042272	Typical-absence-seizure	4	Absence-seizure		"A sudden onset, interruption of ongoing activities, a blank stare, possibly a brief upward deviation of the eyes. Usually the patient will be unresponsive when spoken to. Duration is a few seconds to half a minute with very rapid recovery. Although not always available, an EEG would show generalized epileptiform discharges during the event. An absence seizure is by definition a seizure of generalized onset. The word is not synonymous with a blank stare, which also can be encountered with focal onset seizures. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042273	Atypical-absence-seizure	4	Absence-seizure		"An absence seizure with changes in tone that are more pronounced than in typical absence or the onset and/or cessation is not abrupt, often associated with slow, irregular, generalized spike-wave activity. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042274	Myoclonic-absence-seizure	4	Absence-seizure		"A myoclonic absence seizure refers to an absence seizure with rhythmic three-per-second myoclonic movements, causing ratcheting abduction of the upper limbs leading to progressive arm elevation, and associated with three-per-second generalized spike-wave discharges. Duration is typically 10 to 60 s. Impairment of consciousness may not be obvious. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, page 536.)"
HED_0042275	Eyelid-myoclonia-seizure	4	Absence-seizure		"Jerking of the eyelids at frequencies of at least 3 per second, commonly with upward eye deviation, usually lasting <10 s, often precipitated by eye closure. There may or may not be associated brief loss of awareness. Definition from ILAE 2017 Classification of Seizure Types Expanded Version. (Source: Fisher ea 2017, Table 2.)"
HED_0042276	Seizure-semiology	2	Episode-property	"suggestedTag=None, suggestedTag=Duration"	"Seizure semiology refers to the clinical signs and sympoms that are observed during a seizure. Semiology is described according to the ILAE Glossary of Descriptive Terminology for Ictal Semiology (Blume et al., 2001). Besides the name, the semiologic feature can also be characterized by the somatotopic modifier, laterality, body part and centricity. Uses Location-property tags. (Source: Beniczky ea 2017, Section 10; Duration tag from Beniczky ea Table 13.)"
HED_0042277	Semiology-motor-behavioral-arrest	3	Seizure-semiology	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Interruption of ongoing motor activity or of ongoing behaviors with fixed gaze, without movement of the head or trunk (oro-alimentary and hand automatisms may continue). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042278	Semiology-dyscognitive	3	Seizure-semiology		"The term describes events in which (1) disturbance of cognition is the predominant or most apparent feature, and (2a) two or more of the following components are involved, or (2b) involvement of such components remains undetermined. Otherwise, use the more specific term (e.g., mnemonic experiential seizure  or hallucinatory experiential seizure). Components of cognition: ++ perception: symbolic conception of sensory information ++ attention: appropriate selection of a principal perception or task ++ emotion: appropriate affective significance of a perception ++ memory: ability to store and retrieve percepts or concepts ++ executive function: anticipation, selection, monitoring of consequences, and initiation of motor activity including praxis, speech. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042279	Semiology-elementary-motor	3	Seizure-semiology		"A single type of contraction of a muscle or group of muscles that is usually stereotyped and not decomposable into phases. However, see tonic-clonic, an elementary motor sequence. (Source: Blume ea 2001, 1.1; Beniczky ea 2017, Table 10.)"
HED_0042280	Semiology-myoclonic-jerk	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Characterized by myoclonus. MYOCLONUS : sudden, brief (lower than 100 ms) involuntary single or multiple contraction(s) of muscles(s) or muscle groups of variable topography (axial, proximal limb, distal). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042281	Semiology-negative-myoclonus	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Characterized by negative myoclonus. NEGATIVE MYOCLONUS: interruption of tonic muscular activity for lower than 500 ms without evidence of preceding myoclonia. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042282	Semiology-clonic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Myoclonus that is regularly repetitive, involves the same muscle groups, at a frequency of about 2 to 3 c/s, and is prolonged. Synonym: rhythmic myoclonus. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042283	Semiology-jacksonian-march	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Term indicating spread of clonic movements through contiguous body parts unilaterally. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042284	Semiology-epileptic-spasm	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"A sudden flexion, extension, or mixed extension flexion of predominantly proximal and truncal muscles that is usually more sustained than a myoclonic movement but not so sustained as a tonic seizure (i.e., about 1 s). Limited forms may occur: grimacing, head nodding. Frequent occurrence in clusters. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042285	Semiology-tonic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"A sustained increase in muscle contraction lasting a few seconds to minutes. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042286	Semiology-dystonic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Sustained contractions of both agonist and antagonist muscles producing athetoid or twisting movements, which, when prolonged, may produce abnormal postures. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042287	Semiology-postural	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Adoption of a posture that may be bilaterally symmetric or asymmetric (as in a fencing posture). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042288	Semiology-versive	4	Semiology-elementary-motor	suggestedTag=Body-part	"A sustained, forced conjugate ocular, cephalic, and/or truncal rotation or lateral deviation from the midline. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042289	Semiology-tonic-clonic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"A sequence consisting of a tonic followed by a clonic phase. Variants such as clonic-tonic-clonic may be seen. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042290	Semiology-tonic-clonic-without-figure-of-four	5	Semiology-tonic-clonic		"Without figure of four: Asymmetry of limb posture during the tonic phase of a GTC: one arm is rigidly extended at the elbow (often with the fist clenched tightly and flexed at the wrist), whereas the opposite arm is flexed at the elbow. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042291	Semiology-tonic-clonic-with-figure-of-four-extension-left-elbow	5	Semiology-tonic-clonic		"With figure of four: Asymmetry of limb posture during the tonic phase of a GTC: one arm is rigidly extended at the elbow (often with the fist clenched tightly and flexed at the wrist), whereas the opposite arm is flexed at the elbow. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042292	Semiology-tonic-clonic-with-figure-of-four-extension-right-elbow	5	Semiology-tonic-clonic		"With figure of four: Asymmetry of limb posture during the tonic phase of a GTC: one arm is rigidly extended at the elbow (often with the fist clenched tightly and flexed at the wrist), whereas the opposite arm is flexed at the elbow. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042293	Semiology-astatic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Loss of erect posture that results from an atonic, myoclonic, or tonic mechanism. Synonym: drop attack. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042294	Semiology-atonic	4	Semiology-elementary-motor	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Sudden loss or diminution of muscle tone without apparent preceding myoclonic or tonic event lasting greater or equal to 1 to 2 s, involving head, trunk, jaw, or limb musculature. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042295	Semiology-eye-blinking	4	Semiology-elementary-motor	suggestedTag=Categorical-location-value	"Source: Beniczky ea 2017, Table 10."
HED_0042296	Semiology-subtle-motor-phenomena	4	Semiology-elementary-motor	"requireChild, suggestedTag=Categorical-location-value"	"Source: Beniczky ea 2017, Table 10."
HED_0042297	Semiology-subtle-motor-phenomena-#	5	Semiology-subtle-motor-phenomena	"takesValue, valueClass=textClass"	Free text.
HED_0042298	Semiology-other-elementary-motor	4	Semiology-elementary-motor	requireChild	
HED_0042299	Semiology-other-elementary-motor-#	5	Semiology-other-elementary-motor	"takesValue, valueClass=textClass"	Free text.
HED_0042300	Semiology-automatisms	3	Seizure-semiology		"A more or less coordinated, repetitive, motor activity usually occurring when cognition is impaired and for which the subject is usually amnesic afterward. This often resembles a voluntary movement and may consist of an inappropriate continuation of ongoing preictal motor activity. (Source: Beniczky ea 2017, Table 10; Fisher ea 2017, Table 2.)"
HED_0042301	Semiology-mimetic	4	Semiology-automatisms		"Facial expression suggesting an emotional state, often fear. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042302	Semiology-oroalimentary	4	Semiology-automatisms		"Lip smacking, lip pursing, chewing, licking, tooth grinding, or swallowing. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042303	Semiology-dacrystic	4	Semiology-automatisms		"Bursts of crying. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042304	Semiology-manual	4	Semiology-automatisms	suggestedTag=Categorical-location-value	"1. Indicates principally distal components, bilateral or unilateral. 2. Fumbling, tapping, manipulating movements. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042305	Semiology-gestural	4	Semiology-automatisms	suggestedTag=Categorical-location-value	"Semipurposive, asynchronous hand movements. Often unilateral. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042306	Semiology-hypermotor	4	Semiology-automatisms	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"1. Involves predominantly proximal limb or axial muscles producing irregular sequential ballistic movements, such as pedaling, pelvic thrusting, thrashing, rocking movements. 2. Increase in rate of ongoing movements or inappropriately rapid performance of a movement. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042307	Semiology-hypokinetic	4	Semiology-automatisms	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"A decrease in amplitude and/or rate or arrest of ongoing motor activity. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042308	Semiology-gelastic	4	Semiology-automatisms		"Bursts of laughter or giggling, usually without an appropriate affective tone. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042309	Semiology-other-automatisms	4	Semiology-automatisms	requireChild	"Source: Beniczky ea 2017, Table 10."
HED_0042310	Semiology-other-automatisms-#	5	Semiology-other-automatisms	"takesValue, valueClass=textClass"	Free text.
HED_0042311	Semiology-sensory	3	Seizure-semiology		"A perceptual experience not caused by appropriate stimuli in the external world. Modifies seizure or aura. (Source: Beniczky ea 2017, Table 10; Blume ea 2001, 2.2.)"
HED_0042312	Semiology-headache	4	Semiology-sensory	suggestedTag=Categorical-location-value	"Headache occurring in close temporal proximity to the seizure or as the sole seizure manifestation. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042313	Semiology-visual	4	Semiology-sensory	suggestedTag=Categorical-location-value	"Flashing or flickering lights, spots, simple patterns, scotomata, or amaurosis. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042314	Semiology-auditory	4	Semiology-sensory	suggestedTag=Categorical-location-value	"Buzzing, drumming sounds or single tones. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042315	Semiology-olfactory	4	Semiology-sensory		"Source: Beniczky ea 2017, Table 10."
HED_0042316	Semiology-gustatory	4	Semiology-sensory		"Taste sensations including acidic, bitter, salty, sweet, or metallic. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042317	Semiology-epigastric	4	Semiology-sensory		"Abdominal discomfort including nausea, emptiness, tightness, churning, butterflies, malaise, pain, and hunger; sensation may rise to chest or throat. Some phenomena may reflect ictal autonomic dysfunction. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042318	Semiology-somatosensory	4	Semiology-sensory	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Tingling, numbness, electric-shock sensation, sense of movement or desire to move. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042319	Semiology-autonomic-sensation	4	Semiology-sensory		"Viscerosensitive. A sensation consistent with involvement of the autonomic nervous system, including cardiovascular, gastrointestinal,  sudomotor, vasomotor, and thermoregulatory functions. (Thus autonomic aura; cf. autonomic events 3.0/Semiology-autonomic). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5; Blume ea 2001, 2.2.1.8.)"
HED_0042320	Semiology-sensory-other	4	Semiology-sensory	requireChild	"Source: Beniczky ea 2017, Table 10."
HED_0042321	Semiology-sensory-other-#	5	Semiology-sensory-other	"takesValue, valueClass=textClass"	Free text.
HED_0042322	Semiology-experiential	3	Seizure-semiology		"Affective, mnemonic, or composite perceptual phenomena including illusory or composite hallucinatory events; these may appear alone or in combination. Included are feelings of depersonalization. These phenomena have subjective qualities similar to those experienced in life but are recognized by the subject as occurring outside of actual context. (Source: Beniczky ea 2017, Table 10; Blume ea 2001, 2.2.2.)"
HED_0042323	Semiology-affective-emotional	4	Semiology-experiential		"Components include fear, depression, joy, and (rarely) anger. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042324	Semiology-hallucinatory	4	Semiology-experiential		"Composite perceptions without corresponding external stimuli involving visual, auditory, somatosensory, olfactory, and/or gustatory phenomena. Example: hearing  and seeing  people talking. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042325	Semiology-illusory	4	Semiology-experiential		"An alteration of actual percepts involving the visual, auditory, somatosensory, olfactory, or gustatory systems. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042326	Semiology-mnemonic	4	Semiology-experiential	"suggestedTag=Familiar, suggestedTag=Unfamiliar"	"Components that reflect ictal dysmnesia such as feelings of familiarity (deja-vu) and unfamiliarity (jamais-vu). Use suggested tags to indicate Familiar (deja-vu) or Unfamiliar (jamais-vu). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042327	Semiology-experiential-other	4	Semiology-experiential	requireChild	"Source: Beniczky ea 2017, Table 10."
HED_0042328	Semiology-experiential-other-#	5	Semiology-experiential-other	"takesValue, valueClass=textClass"	Free text.
HED_0042329	Semiology-language	3	Seizure-semiology		"Source: Beniczky ea 2017, Table 10."
HED_0042330	Semiology-vocalization	4	Semiology-language		"Single or repetitive utterances consisting of sounds such as grunts or shrieks. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042331	Semiology-verbalization	4	Semiology-language		"Single or repetitive utterances consisting of words, phrases, or brief sentences. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042332	Semiology-dysphasia	4	Semiology-language		"Partially impaired communication involving language without dysfunction of relevant primary motor or sensory pathways, manifested as impaired comprehension, anomia, paraphasic errors, or a combination of these. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042333	Semiology-aphasia	4	Semiology-language		"Fully impaired communication involving language without dysfunction of relevant primary motor or sensory pathways, manifested as impaired comprehension, anomia, paraphasic errors, or a combination of these. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042334	Semiology-language-other	4	Semiology-language	requireChild	"Source: Beniczky ea 2017, Table 10."
HED_0042335	Semiology-language-other-#	5	Semiology-language-other	"takesValue, valueClass=textClass"	Free text.
HED_0042336	Semiology-autonomic	3	Seizure-semiology		"An objectively documented and distinct alteration of autonomic nervous system function involving cardiovascular, pupillary, gastrointestinal, sudomotor, vasomotor, and thermoregularity functions (cf. Semiology-autonomic-sensation). (Source: Beniczky ea 2017, Table 10; Blume ea 2001, 3.2.)"
HED_0042337	Semiology-pupillary	4	Semiology-autonomic	suggestedTag=Categorical-location-value	"Mydriasis, miosis (either bilateral or unilateral). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042338	Semiology-hypersalivation	4	Semiology-autonomic		"Increase in production of saliva leading to uncontrollable drooling. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042339	Semiology-respiratory-apnoeic	4	Semiology-autonomic		"Subjective shortness of breath, hyperventilation, stridor, coughing, choking, apnea, oxygen desaturation, neurogenic pulmonary edema. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042340	Semiology-cardiovascular	4	Semiology-autonomic		"Modifications of heart rate (tachycardia, bradycardia), cardiac arrhythmias (such as sinus arrhythmia, sinus arrest, supraventricular tachycardia, atrial premature depolarizations, ventricular premature depolarizations, atrio-ventricular block, bundle branch block, atrioventricular nodal escape rhythm, asystole). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042341	Semiology-gastrointestinal	4	Semiology-autonomic		"Nausea, eructation, vomiting, retching, abdominal sensations, abdominal pain, flatulence, spitting, diarrhea. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042342	Semiology-urinary-incontinence	4	Semiology-autonomic		"Urinary urge (intense urinary urge at the beginning of seizures), urinary incontinence, ictal urination (rare symptom of partial seizures without loss of consciousness). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042343	Semiology-genital	4	Semiology-autonomic		"Sexual auras (erotic thoughts and feelings, sexual arousal and orgasm). Genital auras (unpleasant, sometimes painful, frightening or emotionally neutral somatosensory sensations in the genitals that can be accompanied by ictal orgasm). Sexual automatisms (hypermotor movements consisting of writhing, thrusting, rhythmic movements of the pelvis, arms and legs, sometimes associated with picking and rhythmic manipulation of the groin or genitalia, exhibitionism and masturbation). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042344	Semiology-vasomotor	4	Semiology-autonomic		"Flushing or pallor (may be accompanied by feelings of warmth, cold and pain). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042345	Semiology-sudomotor	4	Semiology-autonomic	suggestedTag=Categorical-location-value	"Sweating and piloerection (may be accompanied by feelings of warmth, cold and pain). (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042346	Semiology-thermoregulatory	4	Semiology-autonomic		"Hyperthermia, fever. (Source: Beniczky ea 2017, Table 10; Beniczky ea 2013, Appendix S5.)"
HED_0042347	Semiology-autonomic-other	4	Semiology-autonomic	requireChild	
HED_0042348	Semiology-autonomic-other-#	5	Semiology-autonomic-other	"takesValue, valueClass=textClass"	Free text.
HED_0042349	Semiology-manifestation-other	3	Seizure-semiology	requireChild	
HED_0042350	Semiology-manifestation-other-#	4	Semiology-manifestation-other	"takesValue, valueClass=textClass"	Free text.
HED_0042351	Postictal-semiology	2	Episode-property	"suggestedTag=None, suggestedTag=Duration"	"A transient clinical abnormality of central nervous system function that appears or becomes accentuated when clinical signs of the ictus have ended. (Source: Blume ea 2001; Beniczky ea 2017, Table 11; Duration tag from Beniczky ea Table 13.)"
HED_0042352	Postictal-unconscious	3	Postictal-semiology		"Unawareness and unresponsiveness. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042353	Postictal-quick-recovery-of-consciousness	3	Postictal-semiology		"Quick recovery of awareness and responsiveness. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042354	Postictal-aphasia-or-dysphasia	3	Postictal-semiology		"Impaired communication involving language without dysfunction of relevant primary motor or sensory pathways, manifested as impaired comprehension, anomia, parahasic errors or a combination of these. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042355	Postictal-behavioral-change	3	Postictal-semiology		"Occurring immediately after a seizure. Including psychosis, hypomanina, obsessive-compulsive behavior. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042356	Postictal-hemianopia	3	Postictal-semiology		"Postictal visual loss in a a hemi field. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042357	Postictal-impaired-cognition	3	Postictal-semiology		"Decreased Cognitive performance involving one or more of perception, attention, emotion, memory, execution, praxis, speech. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042358	Postictal-dysphoria	3	Postictal-semiology		"Depression, irritability, euphoric mood, fear, anxiety. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042359	Postictal-headache	3	Postictal-semiology		"Headache with features of tension-type or migraine headache that develops within 3 h following the seizure and resolves within 72 h after seizure. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042360	Postictal-nose-wiping	3	Postictal-semiology	suggestedTag=Categorical-location-value	"Noes-wiping usually within 60 sec of seizure offset, usually with the hand ipsilateral to the seizure onset. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042361	Postictal-anterograde-amnesia	3	Postictal-semiology		"Impaired ability to remember new material. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042362	Postictal-retrograde-amnesia	3	Postictal-semiology		"Impaired ability to recall previously remember material. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042363	Postictal-paresis	3	Postictal-semiology	"suggestedTag=Categorical-location-value, suggestedTag=Body-part"	"Todds palsy. Any unilateral postictal dysfunction relating to motor, language, sensory and/or integrative functions. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042364	Postictal-sleep	3	Postictal-semiology		"Invincible need to sleep after a seizure. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042365	Postictal-unilateral-myoclonic-jerks	3	Postictal-semiology		"Unilateral myoclonic jerks. Myoclonus: sudden, brief (<100 ms) involuntary single or multiple contraction(s) of muscles(s) or muscle groups of variable topography (axial, proximal limb, distal). (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
HED_0042366	Postictal-other-unilateral-motor-phenomena	3	Postictal-semiology	requireChild	"Unilateral motor phenomena, other then specified above, occurring in the postictal phase. (Source: Beniczky ea 2017, Table 11; Beniczky ea 2013, Appendix S5.)"
